,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
268,Sardar Udham,8.3,Shoojit Sircar,"Shubhendu Bhattacharya, Ritesh Shah",,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar, Banita Sandhu, Kirsty Averton, Andrew Havill, Sam Redford, Albrecht Zander, Tim Berrington, Mark Lingwood, Simon Weir, Tim Hudson, Richard Glover, Nicholas Gecks, Ritesh Shah, Jogi Mallang, Kuljeet Singh","October 16, 2021 (India)",India,Hindi,,,2 hours 44 minutes
269,Man with a Movie Camera,8.3,Dziga Vertov,Dziga Vertov,96.0,"Mikhail Kaufman, Elizaveta Svilova","May 12, 1929 (United States)",Soviet Union,,,"$3,959",1 hour 8 minutes
270,Chhichhore,8.3,Nitesh Tiwari,"Piyush Gupta, Nikhil Mehrotra, Nitesh Tiwari",,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar, Tahir Raj Bhasin, Naveen Polishetty, Tushar Pandey, Saharsh Kumar Shukla, Rohit Chauhan, Nalneesh Neel, Aashray Batra, Abhinav Bhattacharjee, Ajoy Chakraborty, Anud Singh Dhaka, Shaji Dheeraj, Neil Dhokte, Amrit Kashyap, Vattanak Khun","September 6, 2019 (India)",India,Hindi,,"$3,311,391",2 hours 23 minutes
271,Violet Evergarden: The Movie,8.3,Taichi Ishidate,"Kana Akatsuki, Reiko Yoshida",,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu, Kôki Uchiyama, Aya Endô, Minori Chihara, Kaori Mizuhashi, Rina Satô, Daichi Endô, Mayuno Yasokawa, Megumi Matsumoto, Sumire Morohoshi, Jôji Nakata, Yasuhiro Mamiya, Mitsuru Miyamoto, Yuuki Sanpei","October 13, 2021 (India)","Japan, South Korea, Czech Republic, Germany",Japanese,,"$20,302,668",2 hours 20 minutes
272,The Rescue,8.3,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan",84.0,"Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan, Woranan Ratrawiphukkun, Vern Unsworth, Weerasak Kowsurat, Rick Stanton, John Volanthen, Connor Roe, Richard Harris, Siriporn Bangnoen, Ruengrit Changkwanyuen, Suratin Chaichoomphu, Ben Svasti Thomson, Saman Gunan, Waleeporn Gunan, Derek Anderson, Josh Bratchley","October 8, 2021 (United States)","United Kingdom, United States","Thai, English",,"$1,060,556",1 hour 47 minutes
273,Ratsasan,8.3,Ram Kumar,"Ram Kumar, Sorif B. Mahmud",,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan, Munishkanth, Saravanan, Usha Elizabeth, Vinodhini Vaidynathan, Ammu Abhirami, Baby Monika Siva, Kaali Venkat, Suzane George, Nizhalgal Ravi, Vinod Sagar, Jai Anand, Gajaraj, Thangam Paramanandhan, Pasupathi","October 5, 2018 (India)",India,Tamil,,,2 hours 26 minutes
274,Dil Bechara,8.3,Mukesh Chhabra,"Shashank Khaitan, Suprotim Sengupta, Scott Neustadter",,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee, Swastika Mukherjee, Sunit Tandon, Saif Ali Khan, Michael Muthu, Rajie Vijay Sarathi, Subbalakshmi, Franaita Jijana, Durgesh Kumar, Salone Mehta, Anandita Sarkar, Nimisha Dean, Aftab, Ajuna, Sukhesh Arora","July 24, 2020 (India)",India,Hindi,,"$45,171",1 hour 41 minutes
275,Viduthalai Part 1,8.3,Vetrimaaran,"Jayamohan, Vetrimaaran",,"Soori, Vijay Sethupathi, Bhavani Sre, S. Chandan, Chetan, Ganesh Gurung, Bala Hasan, Ilavarasu, Asuran Krishna, Manimegalai, Gautham Vasudev Menon, Rajiv Menon, Pavel Navageethan, Prakash Raj, Munnar Ramesh, Balaji Sakthivel, Sardar Satya, Saravana Subbiah","March 31, 2023 (India)",India,Tamil,,"$5,880",2 hours 30 minutes
276,To Live,8.3,Yimou Zhang,"Yu Hua, Wei Lu",,"You Ge, Gong Li, Ben Niu, Wu Jiang, Deng Fei, Tao Guo, Tianchi Liu, Zongluo Huang, Yanjin Liu, Dahong Ni, Lianyi Li, Cong Xiao, Lu Zhang, Yan Su","June 30, 1994 (Hong Kong)","Hong Kong, China",Mandarin,,"$2,332,728",2 hours 13 minutes
277,Akahige,8.3,Akira Kurosawa,"Masato Ide, Hideo Oguni, Ryûzô Kikushima",90.0,"Toshirô Mifune, Yûzô Kayama, Tsutomu Yamazaki, Reiko Dan, Miyuki Kuwano, Kyôko Kagawa, Tatsuyoshi Ehara, Terumi Niki, Akemi Negishi, Yoshitaka Zushi, Yoshio Tsuchiya, Eijirô Tôno, Takashi Shimura, Chishû Ryû, Haruko Sugimura, Kinuyo Tanaka, Eijirô Yanagi, Kôji Mitsui",1970 (India),Japan,Japanese,,"$47,741",3 hours 5 minutes
278,Drishyam,8.3,Jeethu Joseph,Jeethu Joseph,,"Mohanlal, Meena, Asha Sharath, Ansiba, Esther Anil, Baiju V.K., Kalabhavan Shajohn, Siddique, Roshan Basheer, Neeraj Madhav, Pradeep Chandran, Kalabhavan Haneef, Irshad, Koottickal Jayachandran, Kunchan, Aneesh Menon, Shobha Mohan, Sreekumar","December 19, 2013 (India)",India,Malayalam,"₹35,000,000 (estimated)","$13,076,265",2 hours 40 minutes
279,Children of Paradise,8.3,Marcel Carné,Jacques Prévert,96.0,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir, María Casares, Gaston Modot, Fabien Loris, Marcel Pérès, Palau, Etienne Decroux, Jane Marken, Marcelle Monthil, Louis Florencie, Habib Benglia, Raymond Rognoni, Jacques Castelot, Paul Frankeur, Albert Rémy","March 15, 1946 (France)",France,French,,"$44,906",3 hours 9 minutes
280,Scener ur ett äktenskap,8.3,Ingmar Bergman,Ingmar Bergman,,"Liv Ullmann, Erland Josephson, Bibi Andersson, Gunnel Lindblom, Jan Malmsjö, Rossana Mariano, Anita Wall, Lena Bergman","October 28, 1974 (Sweden)",Sweden,Swedish,,$250,2 hours 49 minutes
281,Hoop Dreams,8.3,Steve James,"William Gates, Arthur Agee, Emma Gates",98.0,"William Gates, Arthur Agee, Emma Gates, Curtis Gates, Sheila Agee, Arthur 'Bo' Agee, Earl Smith, Gene Pingatore, Isiah Thomas, Marlyn Hopewell, Bill Gleason, Patricia Weir, Marjorie Heard, Luther Bedford, Aretha Mitchell, Shannon Johnson, Tomika Agee, Joe 'Sweetie' Agee","October 14, 1994 (United States)",United States,English,"$700,000 (estimated)","$11,830,611",2 hours 50 minutes
282,Letyat zhuravli,8.3,Mikhail Kalatozov,Viktor Rozov,76.0,"Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev, Aleksandr Shvorin, Svetlana Kharitonova, Konstantin Kadochnikov, Valentin Zubkov, Antonina Bogdanova, Boris Kokovkin, Ekaterina Kupriyanova, Valentina Ananina, Valentina Vladimirova, Olga Dzisko, Leonid Knyazev, Georgiy Kulikov, Daniil Netrebin, Aleksandr Popov, Irina Preys","October 12, 1957 (Soviet Union)",Soviet Union,Russian,,"$32,549",1 hour 35 minutes
283,The Look of Silence,8.3,Joshua Oppenheimer,"Adi Rukun, M.Y. Basrun, Volker Hanisch",92.0,"Adi Rukun, M.Y. Basrun, Volker Hanisch, Amir Hasan, Inong, Kemat, Joshua Oppenheimer, Achim Schülke, Amir Siahaan, Ted Yates","November 13, 2014 (Denmark)","Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands",Indonesian,,"$157,857",1 hour 43 minutes
284,Jana Gana Mana,8.3,Dijo Jose Antony,Sharis Mohammed,,"Prithviraj Sukumaran, Suraj Venjaramoodu, Mamta Mohandas, Mammootty, Vincy Aloshious, Dhanya Ananya, Rajesh Babu, Raja Krishnamoorthy, Sri Divya, Dhruvan, Pasupathi Raj, Shammi Thilakan, Ilavarasu, Priyanka Nair, G.M. Sundar, Vinod Sagar, Vaishnavi Venugopal, Harikrishnan","April 28, 2022 (India)",India,Malayalam,"₹100,000,000 (estimated)","$3,135,150",2 hours 42 minutes
285,Premam,8.3,Alphonse Puthren,Alphonse Puthren,,"Nivin Pauly, Sai Pallavi, Madonna Sebastian, S.V. Krishna Shankar, Shabareesh Varma, Anupama Parameswaran, Vinay Forrt, Soubin Shahir, Siju Wilson, Ananth Nag, Sharafudheen, Dinesh Prabhakar, Jude Anthany Joseph, Franko Davis, Justin John, Jayashankar, Rinsa Jacob, Vimal Kumar","May 22, 2015 (India)",India,Malayalam,,"₹600,000,000",2 hours 36 minutes
286,2018,8.3,Jude Anthany Joseph,"Akhil P. Dharmajan, Jude Anthany Joseph",,"Tovino Thomas, Kunchacko Boban, Asif Ali, Vineeth Sreenivasan, Aparna Balamurali, Tanvi Ram, Lal, Narain, Kalaiyarasan, Aju Varghese, Sudheesh, Harikrishnan, Indrans, Siddique, Renji Panicker, Sshivada, Gauthami Nair, Janardanan","May 5, 2023 (India)",India,Malayalam,"₹300,000,000 (estimated)","$4,547,765",2 hours 30 minutes
287,Jôi-uchi: Hairyô tsuma shimatsu,8.3,Masaki Kobayashi,"Shinobu Hashimoto, Yasuhiko Takiguchi",90.0,"Toshirô Mifune, Yôko Tsukasa, Gô Katô, Tatsuyoshi Ehara, Etsuko Ichihara, Isao Yamagata, Tatsuya Nakadai, Shigeru Kôyama, Michiko Ôtsuka, Tatsuo Matsumura, Masao Mishima, Jun Hamamura, Emi Yamada, Takamaru Sasaki, Hideo Fukuhara, Noriko Kawajiri, Tetsuko Kobayashi, Hisano Yamaoka","June 3, 1967 (Japan)",Japan,Japanese,,,2 hours 8 minutes
288,Won't You Be My Neighbor?,8.3,Morgan Neville,"Fred Rogers, Margaret Whitmer, Tom Junod",85.0,"Fred Rogers, Margaret Whitmer, Tom Junod, Joanne Rogers, Josie Carey, Jim Rogers, Max King, Hedda Sharapan, Betty Seamans, Junlei Li, Joe Negri, David Newell, Bill Isler, John Rogers, Elaine Crozier, George Wirth, Ralph Ellison, David Bianculli","June 29, 2018 (United States)",United States,"English, Hebrew",,"$22,844,741",1 hour 35 minutes
289,Brilliantovaya ruka,8.3,Leonid Gaidai,"Leonid Gaidai, Yakov Kostyukovskiy, Moris Slobodskoy",,"Yuriy Nikulin, Nina Grebeshkova, Andrey Mironov, Anatoliy Papanov, Stanislav Chekan, Vladimir Gulyaev, Nonna Mordyukova, Svetlana Svetlichnaya, Roman Filippov, Grigoriy Shpigel, Leonid Kanevskiy, Igor Yasulovich, Aleksandra Lisyutina, Aleksandr Khvylya, Nikolay Romanov, Andrey Fayt, Leonid Gaidai, German Kachin","April 28, 1969 (Soviet Union)",Soviet Union,Russian,,"$2,266",1 hour 34 minutes
290,Bangalore Days,8.3,Anjali Menon,Anjali Menon,,"Dulquer Salmaan, Nivin Pauly, Nazriya Nazim, Fahadh Faasil, Parvathy Thiruvothu, Isha Talwar, Nithya Menen, Kalpana, Maniyanpilla Raju, Praveena, Vijayaraghavan, Sijoy Varghese, Sajid Yahiya, Prathap Pothen, Vinaya Prasad, Paris Laxmi, Ajith, Bhagyalakshmi","May 30, 2014 (India)",India,Malayalam,,"$180,217",2 hours 51 minutes
291,Satya,8.3,Ram Gopal Varma,"Anurag Kashyap, Saurabh Shukla, Kona Venkat",,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Paresh Rawal, Saurabh Shukla, Govind Namdeo, Makrand Deshpande, Shefali Shah, Raju Mavani, Aditya Srivastav, Neeraj Vora, Rajesh Joshi, Saabir, Snehal Dabi, Jeeva, Bener Jee, Jyotsna Karyekar, Utkarsh Mazumdar","July 3, 1998 (India)",India,Hindi,,,2 hours 50 minutes
292,Uçurtmayi Vurmasinlar,8.3,Tunç Basaran,Feride Çiçekoglu,,"Ozan Bilen, Nur Sürer, Füsun Demirel, Güzin Özipek, Güzin Özyagcilar, Meral Çetinkaya, Hale Akinli, Rozet Hubes, Yasemin Alkaya, Özlem Savas, Sevin Çalisar, Nurettin Sen, Özlem Üstüner, Ayla Arslancan, Baris Celiloglu, Gönül Demirkol, Ayben Erman, Sabriye Kara","November 7, 1989 (Turkey)",Turkey,Turkish,,,1 hour 25 minutes
293,Nayak,8.3,Satyajit Ray,Satyajit Ray,,"Uttam Kumar, Sharmila Tagore, Bireswar Sen, Somen Bose, Nirmal Ghosh, Premangshu Bose, Sumita Sanyal, Ranjit Sen, Bharati Devi, Lali Chowdhury, Kamu Mukherjee, Susmita Mukherjee, Subrata Sensharma, Jamuna Sinha, Hiralal, Jogesh Chatterjee, Satya Banerjee, Gopal Dey","May 6, 1966 (India)",India,Bengali,,,1 hour 57 minutes
294,"Kavkazskaya Plennitsa, Ili Novye Priklyucheniya Shurika",8.3,Leonid Gaidai,"Leonid Gaidai, Yakov Kostyukovskiy, Moris Slobodskoy",,"Aleksandr Demyanenko, Natalya Varley, Vladimir Etush, Frunzik Mkrtchyan, Ruslan Akhmetov, Yuriy Nikulin, Georgiy Vitsin, Evgeniy Morgunov, Noy Avaliani, Emmanuil Geller, Mikhail Gluzskiy, Nina Grebeshkova, Georgiy Millyar, Donara Mkrtchyan, Pyotr Repnin, Aleksey Stroev, Nadezhda Rumyantseva, Mikhail Sodorskiy","April 3, 1967 (Soviet Union)",Soviet Union,Russian,"RUR 25,313 (estimated)",,1 hour 22 minutes
295,Winter on Fire: Ukraine's Fight for Freedom,8.3,Evgeny Afineevsky,Den Tolmor,79.0,"His Beatitude Sviatoslav, Said Ismagilov, Bishop Agapit, Archbishop Petro Malchuk, Dmytro Holubnychy, Valerii Zalevskiy, Katerina Overchenko, Mustafa Nayem, Olena Stadnik, Ruslana Lyzhicko, Maksim Panov, Timur Ibragimov, Katya Korniyko, Kurganskyi Eduard, Pavlo Dobryanskyy, Ruslan Lapuk, Vladimir Kugilyov, Oleksandr Melnyk","October 9, 2015 (United States)","United Kingdom, Ukraine, United States","Ukrainian, Russian, English",,,1 hour 42 minutes
296,Maheshinte Prathikaram,8.3,Dileesh Pothan,Syam Pushkaran,,"Fahadh Faasil, Aparna Balamurali, Soubin Shahir, Alencier Ley Lopez, Anusree, Antony Kochi, Dileesh Pothan, Achuthanandan, Leena Antony, Rahul CB, Jaffer Idukki, Jayashankar, Lijo Mol Jose, Vijilesh Karayad, Rajesh Madhavan, S.K. Mini, Manju Pathrose, Harish Pengan","February 5, 2016 (India)",India,Malayalam,,"$22,361",2 hours
297,Mahanagar,8.3,Satyajit Ray,"Narendranath Mitra, Satyajit Ray",,"Anil Chatterjee, Madhavi Mukherjee, Jaya Bachchan, Haren Chatterjee, Sefalika Devi, Prasenjit Sarkar, Haradhan Bannerjee, Vicky Redwood, Bibhuti Banerjee, Manisha Chakraborty, Tapan Chatterjee, Arun Chowdhury, Pritish Dey, Shailen Ganguli, Shyamal Ghoshal, Anuradha Guha, Jyoti Kripalani, Samir Lahiri","September 27, 1963 (India)",India,"Bengali, English",,,2 hours 11 minutes
298,Mrtav 'ladan,8.3,Milorad Milinkovic,Milorad Milinkovic,,"Nikola Djuricko, Sonja Kolacaric, Tara Manic, Srdjan 'Zika' Todorovic, Nenad Jezdic, Slobodan 'Boda' Ninkovic, Nikola Pejakovic, Milorad Mandic-Manda, Velimir 'Bata' Zivojinovic, Olivera Markovic, Milica Mihajlovic, Branislav Zeremski, Miodrag 'Miki' Krstovic, Radmila Zivkovic, Mihajlo Jovanovic, Mihajlo 'Bata' Paskaljevic, Goran Sultanovic, Nadja Sekulic","March 15, 2002 (Federal Republic of Yugoslavia)",Federal Republic of Yugoslavia,Serbian,,,1 hour 30 minutes
299,Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,8.3,Masashi Koizuka,"Hajime Isayama, Yasuko Kobayashi",,"Yûki Kaji, Yui Ishikawa, Marina Inoue, Hiro Shimono, Yû Kobayashi, Shiori Mikami, Saki Fujita, Yoshimasa Hosoya, Tomohisa Hashizume, Kishô Taniyama, Yû Shimamura, Kenjirô Tsuda, Ryoma Abe, Ryûji Akiyama, Hirosato Amano, Felecia Angelle, Bryn Apprill, Zach Archibald","January 13, 2018 (Japan)",Japan,Japanese,,"$107,155",2 hours
300,Anniyan,8.3,S. Shankar,"Gopal Ram, S. Shankar, Sujatha",,"Vikram, Sada, Prakash Raj, Vivek, Nedumudi Venu, Nassar, Kalabhavan Mani, Cochin Hanifa, Saurabh Shukla, Charlie, Sriranjani, Mohan Vaidya, Manobala, Shanmugarajan, Amarasigamani, Shanthi Williams, Suryakanth, Viraj","June 17, 2005 (India)",India,Tamil,"₹280,000,000 (estimated)",,3 hours 3 minutes
301,Vuk,8.3,Attila Dargay,"István Fekete, Attila Dargay, István Imre",,"Judit Pogány, József Gyabronka, Teri Földi, Gyula Szabó, László Csákányi, Erzsébet Kútvölgyi, Tibor Bitskey, John Bellucci, Miklós Benedek, Zoltán Benkóczy, Gyula Bodrogi, Anne Costello, György Cserhalmi, Judit Czigány, Maia Danziger, Antal Farkas, Ottó Füzesy, George Gonneau","December 10, 1981 (Hungary)",Hungary,Hungarian,,,1 hour 19 minutes
302,Agent Sai Srinivasa Athreya,8.3,Swaroop Rsj,"Swaroop Rsj, Naveen Polishetty, Divya Narayanan",,"Naveen Polishetty, Shruti Sharma, Krishneswara Rao, Suhas, Sandeep Raj, Ramdutt, Shredha Rajagopalan, Viswanath Mandalika, Kousi Orfahli, Prashant, Darbha Appaji Ambarisha, Vinu Varma, Lavanya, Mahija, Rithiwik, Sharath Kumar, Kranthi Priyam, Gopi Muppiri","May 31, 2019 (India)",India,Telugu,"$20,000 (estimated)","$4,454",2 hours 28 minutes
303,Sairat,8.3,Nagraj Manjule,"Nagraj Manjule, Bharat Manjule",,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde, Suresh Vishwakarma, Suraj Pawar, Anuja Mule, Bhushan Manjule, Chhaya Kadam, Rubina Inamdar, Nagraj Manjule, Shivam More, Mithunchandra Chaudhari, Bhakti Chavan, Ramchandra Dhumal, Pooja Dolas, Harshal Gire, Shrikant Honmane","April 29, 2016 (India)",India,Marathi,,,2 hours 54 minutes
304,Dzhentlmeny udachi,8.3,Aleksandr Seryy,"Georgiy Daneliya, Viktoriya Tokareva",,"Evgeniy Leonov, Georgiy Vitsin, Saveliy Kramarov, Radner Muratov, Erast Garin, Natalya Fateeva, Nikolay Olyalin, Anatoliy Papanov, Pavel Shpringfeld, Lyubov Sokolova, Oleg Vidov, Aleksey Vanin, Natalya Vorobyova, Zoya Vasilkova, Galina Mikeladze, Roman Filippov, Vladimir Protasenko, Vladimir Van-Zo-Li","December 13, 1971 (Soviet Union)",Soviet Union,Russian,,"$10,560,943",1 hour 28 minutes
305,Baasha,8.3,Suresh Krishna,"Suresh Krishna, Balakumaran, Gopal Ram",,"Rajinikanth, Nagma, Raghuvaran, Vijayakumar, Janakaraj, Devan, Anandraj, Sasikumar, Sathyapriya, Yuvarani, Charan Raj, Shenbaga, Raja Krishnamoorthy, Sethu Vinayakam, Kavithalaya Krishnan, Dhamu, Mahanadhi Shankar, Narsing Yadav","January 15, 1995 (India)",India,Tamil,,"₹250,000,000",2 hours 25 minutes
306,Pithamagan,8.3,Bala,Bala,,"Vikram, Suriya, Laila, Sangeetha, Mahadevan, Karunas, Manobala, Motta Rajendran, 'Ganja' Karuppu, Ramji, Swaminathan, T.P. Gajendran, Stun Siva, Simran, Rajesh, Mu Ramaswamy, Soundar","October 24, 2003 (India)",India,Tamil,"₹80,000,000 (estimated)",,2 hours 19 minutes
307,Jaane Bhi Do Yaaro,8.3,Kundan Shah,"Ranjit Kapoor, Satish Kaushik, Sudhir Mishra",,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve, Satish Shah, Om Puri, Pankaj Kapur, Satish Kaushik, Neena Gupta, Deepak Qazir, Rajesh Puri, Zafar Sanjari, Ashok Banthia, Uday Chandra, Harshad Gandhi, Jaspal Sandhu, Anil Chaudhary, Ajay Wadhavkar, Arun Khanna","August 12, 1983 (India)",India,Hindi,,,2 hours 12 minutes
308,Khuda Kay Liye,8.3,Shoaib Mansoor,"Shoaib Mansoor, Faiza Mujahid, Bulleh Shah",,"Shaan Shahid, Fawad Khan, Iman Ali, Austin Marie Sayre, Larry Newman, Rasheed Naz, Naeem Tahir, Seemi Raheel, Humayun Kazmi, Angela Williams, Alex Edwards, Hameed Sheikh, Rufus Graham, Najeeb Ullah Anjum, Ayub Khoso, Naseeruddin Shah, Samir Aftab, Uzair Altaf","March 28, 2008 (India)",Pakistan,"Urdu, English",,"$2,432,378",2 hours 48 minutes
309,Angoor,8.3,Gulzar,"Gulzar, William Shakespeare",,"Sanjeev Kumar, Moushumi Chatterjee, Deven Verma, Aruna Irani, Deepti Naval, Padma Chavan, Shammi, C.S. Dubey, Yunus Parvez, T.P. Jain, Raj Bharti, Rammohan Sharma, Kamaldeep, Utpal Dutt, Vasant, Bhola Shah, Chandru Asrani, Prabhakar","March 5, 1982 (India)",India,Hindi,,,2 hours 11 minutes
310,Kaakkaa Muttai,8.3,M. Manikandan,"Anand Annamalai, M. Manikandan",,"Ramesh Thilaganathan, J. Vignesh, Aishwarya Rajesh, Ramesh Thilak, Joe Malloori, Babu Antony, Yogi Babu, Krishnamoorthy, Silambarasan TR, Nivas Adithan, C.M. Bala, Sumathi G., Vishwa Kumar, Santhi Mani, Vijay Muthu, K Muthukumar, Vazhakku En Muthuraman","June 5, 2015 (India)",India,Tamil,,"$246,551",1 hour 49 minutes
311,Soodhu Kavvum,8.3,Nalan Kumarasamy,"Srinivas Kavinayam, Srinivasa Kavineyam, Nalan Kumarasamy",,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar, Karunakaran, Bobby Simha, Ramesh Thilak, Ashok Selvan, Yog Japee, Aruldoss, Boys Rajan, Radha, Kannayiram, Mippu, T. Sivakumar, Anjali Rao, Yogi Babu, Gajaraj","May 1, 2013 (India)",India,Tamil,"₹70,000,000 (estimated)",,2 hours 15 minutes
312,Kaun Pravin Tambe?,8.3,Jayprad Desai,"Kedar Patankar, Kapil Sawant, Kiran Yadnyopavit",,"Shreyas Talpade, Gaurav Shivaji, Arif Zakaria, Asif Ali, Shekhar Betkar, Parambrata Chattopadhyay, Ankur Dabas, Ranjit Deval, Chhaya Kadam, Vishwas Kapoor, Trupti Khamkar, Ramdev Mishra, Shailendra Mishra, Rugved Mule, Arun Nalawade, Saylee Parab-Shelar, Vaibhavi Pardeshi, Aditi Patil","April 1, 2022 (India)",India,Hindi,,,2 hours 14 minutes
313,Pyaasa,8.3,Guru Dutt,Abrar Alvi,,"Guru Dutt, Waheeda Rehman, Mala Sinha, Rehman Khan, Johnny Walker, Kumkum, Leela Mishra, Shyam, Mehmood, Radheshyam, Tun Tun, Maya Dass, Moni Chatterjee, Ashita, Neel Kamal, Mohan Sandow, Rajendra, Tulsi Chakraborty","February 19, 1957 (India)",India,Hindi,,,2 hours 26 minutes
314,Guide,8.3,Vijay Anand,"Vijay Anand, Pearl S. Buck, R.K. Narayan",,"Dev Anand, Waheeda Rehman, Leela Chitnis, Anwar Hussain, Ulhas, Gajanan Jagirdar, Rashid Khan, Kishore Sahu, Praveen Paul, Mridula Rani, Purnima, Sheela R., Krishan Dhawan, Prem Sagar, Narbada Shankar, Levy Aaron, Mohan Jerry, Dilip Dutt","February 6, 1965 (India)",India,Hindi,,,3 hours 3 minutes
315,Lucia,8.3,Pawan Kumar,Pawan Kumar,,"Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker, Pawan Kumar, Ram Manjjonaath, Rishab Shetty, Surya Vasishta","September 6, 2013 (India)",India,Kannada,"₹5,100,000 (estimated)",,2 hours 15 minutes
316,Mi nismo andjeli,8.3,Srdjan Dragojevic,Srdjan Dragojevic,,"Nikola Kojo, Milena Pavlovic, Branka Katic, Srdjan 'Zika' Todorovic, Uros Djuric, Sonja Savic, Zoran Cvijanovic, Predrag 'Miki' Manojlovic, Bogdan Diklic, Stanislava Pesic, Eva Ras, Bojan Zirovic, Vesna Trivalic, Slobodan 'Boda' Ninkovic, Nikola Pejakovic, Vojka Cordic, Dragan Maksimovic, Branko Vidakovic","May 30, 1992 (Federal Republic of Yugoslavia)",Federal Republic of Yugoslavia,Serbian,,,1 hour 38 minutes
317,Chupke Chupke,8.3,Hrishikesh Mukherjee,"Upendranath Ganguly, D.N. Mukherjee, Gulzar",,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bachchan, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee, Dev Kishan, Om Prakash, Lalita Kumari, Nayana Apte, Chaitali, Aarti, Amol Sen, Harish Magon, Vishal Desai, Masterji","April 11, 1975 (India)",India,Hindi,"₹991,000 (estimated)",,2 hours 26 minutes
318,Köyden Indim Sehire,8.3,Ertem Egilmez,Zeki Alasya,,"Kemal Sunal, Meral Zeren, Zeki Alasya, Metin Akpinar, Halit Akçatepe, Tekin Akmansoy, Leman Çidamli, Oya Alasya, Perran Kutman, Mete Inselel, Mine Mutlu",October 1974 (Turkey),Turkey,Turkish,,,1 hour 31 minutes
319,Iron Maiden: Flight 666,8.3,"Sam Dunn, Scot McFadyen","Sam Dunn, Scot McFadyen",,"Bruce Dickinson, Janick Gers, Steve Harris, Nicko McBrain, Dave Murray, Adrian Smith, Vinny Appice, Dickie Bell, Pat Cash, Ian Day, Mynor De Leon, Patrice Dickinson, Ronnie James Dio, Lauren Harris, Chris Jericho, Kerry King, Tom Morello, Iron Maiden","April 21, 2009 (Argentina)","Canada, United Kingdom",English,,"$233,193",1 hour 52 minutes
320,Pranchiyettan and the Saint,8.3,Ranjith,Ranjith,,"Mammootty, Priyamani, Jesse Fox Allen, Innocent Vareed Thekkethala, Ganapathi, Siddique, Khushbu Sundar, Jagathy Sreekumar, Sasi Kalinga, Tini Tom, Biju Menon, Balachandran Chullikadu, Idavela Babu, Ramu, Shivaji Guruvayoor, Sreejith Ravi, T.G. Ravi, Jijoy Rajagopalan","September 10, 2010 (India)",India,Malayalam,,$957,2 hours 20 minutes
321,Macskafogó,8.3,Béla Ternovszky,József Nepp,,"Miklós Benedek, Gyula Bodrogi, Ilona Béres, Péter Haumann, András Kern, Ferenc Kállai, János Körmendi, István Mikó, Károly Mécs, Vera Pap, Zsuzsa Pálos, László Sinkó, Gyula Szombathy, Attila Bartucz, Maria Bircher, Zoltán Boros, Endre Botár, Marc Denis","October 2, 1986 (Hungary)","Hungary, Canada, West Germany",Hungarian,,"$14,937",1 hour 36 minutes
322,Aruvi,8.3,Arun Prabhu Purushothaman,Arun Prabhu Purushothaman,,"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold, K. Babu, Mohammad Ali Baig, Bala, Bharath, Kavitha Bharathy, Madan Chakravarthy, Karthikeyan Chinnaswamy, Dakshana, Lakshmi Gopalaswamy, Hema, Hemalatha, Kamala, Kuppusami, Mani Kutty","December 1, 2017 (India)",India,Tamil,"$400,000 (estimated)",,2 hours 10 minutes
323,Alai Payuthey,8.3,Mani Ratnam,"Mani Ratnam, R. Selvaraj",,"Madhavan, Shalini, Swarnamalya, V. Natarajan, K.P.A.C. Lalitha, Ravi Prakash, Jayasudha, Vivek, Sukumari, Azhagam Perumal, Karthik Kumar, Arvind Swamy, Khushbu Sundar, Venu Arvind, Kumar Natarajan, Rangammal","April 14, 2000 (India)",India,Tamil,,"₹350,000,000",2 hours 36 minutes
